id;start_date;end_date;language
1;2019-09-18T22:20:35;2019-09-18T15:28:52;FRENCH
2;2019-09-18T23:50:41;2019-09-18T08:56:51;FRENCH
3;2019-09-18T19:22:45;2019-09-18T10:46:45;SPANISH
4;2019-09-18T08:34:37;2019-09-18T16:01:38;FRENCH
5;2019-09-18T17:33:16;2019-09-18T22:17:24;SPANISH
6;2019-09-18T23:50:16;2019-09-19T01:07:12;SPANISH
7;2019-09-18T09:12:36;2019-09-18T21:53:23;ENGLISH
8;2019-09-18T06:43:55;2019-09-18T14:44:04;FRENCH
9;2019-09-18T16:32:01;2019-09-19T00:56:39;FRENCH
10;2019-09-18T19:50:10;2019-09-18T17:06:25;FRENCH
